"codigo";"instituicao";"municipio";"uf"
"002501";"FACULDADE ESTÁCIO DE SÁ DE GOIÁS (FESGO)";"Goiânia";"GO"
"001659";"FACULDADE ESTÁCIO DE SÁ DE OURINHOS (FAESO)";"Ourinhos";"SP"
"001496";"FACULDADE ESTÁCIO DE SÁ DE VILA VELHA (FESVV)";"Vila Velha";"ES"
"001486";"FACULDADE ESTÁCIO DE SÁ DE VITÓRIA (FESV)";"Vitória";"ES"
"003779";"FACULDADE ESTÁCIO DE SANTO ANDRÉ (ESTÁCIO SANTO ANDRÉ)";"Santo André";"SP"
"018145";"Faculdade Estácio de São José do Rio Preto (EstácioSÃO JOSÉ)";"São José do Rio Preto";"SP"
"021288";"FACULDADE ESTÁCIO DE SÃO JOSÉ DOS PINHAIS";"São José dos Pinhais";"PR"
"001590";"FACULDADE ESTÁCIO DE SÃO LUÍS (ESTÁCIO SÃO LUÍS)";"São Luís";"MA"
"018107";"Faculdade Estácio de São Mateus - Estácio SÃO MATEUS";"São Mateus";"ES"
"000916";"FACULDADE ESTÁCIO DE TERESINA (ESTÁCIO TERESINA)";"Teresina";"PI"
"002380";"Faculdade Estácio do Amapá - Estácio Amapá (ESTÁCIO AMAPÁ)";"Macapá";"AP"
"002036";"Faculdade Estácio do Pará - Estácio FAP (ESTÁCIO FAP)";"Belém";"PA"
"001175";"FACULDADE ESTÁCIO DO RIO GRANDE DO SUL - ESTÁCIO FARGS (ESTÁCIO FARGS)";"Porto Alegre";"RS"
"001457";"Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN (ESTÁCIO EUROPAN)";"Cotia";"SP"
"001591";"FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ (ESTÁCIO MACAPÁ)";"Macapá";"AP"
"021210";"Faculdade Estratego (ESTRATEGO)";"Belém";"PA"
"017758";"Faculdade Euclides da Cunha (FAEC)";"Euclides da Cunha";"BA"
"002163";"FACULDADE EUGÊNIO GOMES (FEG)";"Ipirá";"BA"
"001894";"FACULDADE EUROPÉIA DE ADMINISTRAÇÃO E MARKETING (FEPAM)";"Jaboatão dos Guararapes";"PE"
"013484";"FACULDADE EUROPÉIA DE VITÓRIA (FAEV)";"Cariacica";"ES"
"003663";"FACULDADE EVANGÉLICA (FE)";"Brasília";"DF"
